ds,yhat,yhat_lower,yhat_upper
2013-01-01,378008.82077734114,242982.47192316042,520772.0402438551
2013-01-02,390393.4349254308,250518.19669570346,526732.5307596955
2013-01-03,291152.61776104383,153256.06040149526,428761.4603400296
2013-01-04,354545.47898701,214949.35890405488,480730.2729614382
2013-01-05,534554.4177501154,389252.5689911079,668760.148838473
2013-01-06,578288.4151884208,436973.87009596045,717458.870262185
2013-01-07,358811.9938204798,214331.09786770915,486720.3260753622
2013-01-08,302486.45556954783,174379.46640541602,441587.06413586374
2013-01-09,318017.0503966829,182664.49954465483,458876.15800584084
2013-01-10,222850.9911173401,84561.9495395537,365044.48018079944
2013-01-11,291118.9185392534,152151.62974284892,430956.9207676148
2013-01-12,476660.43954400567,349172.45305539906,611670.765179199
2013-01-13,526431.137404888,392120.621281329,665770.5415341001
2013-01-14,313335.4656760859,180775.51870952285,457871.4603339263
2013-01-15,263572.03503784165,121294.97776277961,412858.67808619153
2013-01-16,285684.84039129916,145970.980629124,430147.50790733774
2013-01-17,196965.23963765166,60330.461898657166,334252.41054453474
2013-01-18,271397.18740705407,136158.3357908613,407605.68348295393
2013-01-19,462686.25139791943,316891.65922082105,599449.2547490338
2013-01-20,517669.7240343042,390438.0632024648,657263.1646691705
2013-01-21,309152.1648198843,161887.0491040964,454743.4371732816
2013-01-22,263252.81934425264,134609.24522644127,389737.9368569708
2013-01-23,288458.41295953165,149042.33542036597,429194.34203414235
2013-01-24,202026.09661093165,57628.80162084759,338899.5639220124
2013-01-25,277929.03024184384,137069.37713061506,408064.4718879122
2013-01-26,469885.1300537608,321587.13883535156,608003.8041645242
2013-01-27,524766.3072841625,382106.6675943625,667701.7164469444
2013-01-28,315432.5646578099,177836.1409925701,447364.5529766365
2013-01-29,268077.4420767526,125754.31835337146,415827.40734329046
2013-01-30,291278.3686875391,153158.09313494412,432667.8330624333
2013-01-31,202396.76969383727,66335.32165574258,347563.7907940777
2013-02-01,275520.49402553786,137040.65314978044,414346.9371753169
2013-02-02,464489.1773318602,331064.44770483364,608459.5875639734
2013-02-03,516299.96125570446,386323.5863840869,657298.4743704037
2013-02-04,303938.0309524766,165561.10898176348,436165.35276229616
2013-02-05,253718.558171952,116982.79212851645,401705.0920900669
2013-02-06,274333.7001402662,136780.9040057235,411738.98781150265
2013-02-07,183249.59060769307,51004.929679501845,328566.08583473903
2013-02-08,254645.96971994598,120150.36615349392,394848.741082737
2013-02-09,442439.1382218067,315820.35609979834,593359.7489751383
2013-02-10,493685.71664766537,366644.1083626141,633276.390546972
2013-02-11,281411.71835064935,133372.613227081,420349.0694256239
2013-02-12,231953.55663981763,95293.79328469315,364096.15662989626
2013-02-13,254004.65453775696,114141.61289359123,392164.29860088264
2013-02-14,165012.59682734602,17870.69779418552,311945.27440015355
2013-02-15,239119.45942900702,93407.60548288746,368909.55845407373
2013-02-16,430185.97561291687,293184.43012363045,570844.0931245089
2013-02-17,485196.98015481746,346312.76579630916,629424.3561612053
2013-02-18,277092.58846984827,136892.41333502345,413843.3609446035
2013-02-19,232111.66844275774,89875.02181140758,369024.74243594945
2013-02-20,258841.20203564002,125085.8298142178,406145.95598050643
2013-02-21,174616.39807515827,27998.37988260712,311625.96375814214
2013-02-22,253464.10838551735,119075.0099182589,392483.17080564913
2013-02-23,449130.1215927011,321756.8024642681,589919.6941092629
2013-02-24,508487.69060667505,367002.9853974989,648299.575217728
2013-02-25,304371.66799721296,166803.2732867177,438399.5455135568
2013-02-26,262924.72920525115,116939.2087286067,401530.28372864856
2013-02-27,292649.208506965,153876.58349073897,437227.0710061029
2013-02-28,210809.3469022994,70917.20104871313,343376.08061728295
2013-03-01,291376.4509463127,154624.96812503712,425367.86448065535
2013-03-02,488057.4955491548,356644.56009290996,618048.5990397452
2013-03-03,547704.4977815971,410836.91801062925,686957.8249654786
2013-03-04,343149.01999864593,201309.42986126666,477770.02665293706
2013-03-05,300548.27917041956,160541.56288668123,446851.92312898266
2013-03-06,328436.3984399335,183531.93733740185,468083.32742459973
2013-03-07,244125.62243451973,103848.2532592203,375609.3152783269
2013-03-08,321650.0305620973,186753.45111528065,466950.38928050327
2013-03-09,514792.3267799206,375994.44708531856,649091.8846943579
2013-03-10,570491.0876465363,435922.43795502454,711132.8817460553
2013-03-11,361672.8893484967,220202.84719801912,506105.6299540535
2013-03-12,314595.85871253844,172689.43053522738,453901.0899467509
2013-03-13,337898.256125868,203830.34071457735,476910.87373621855
2013-03-14,248996.98554468958,108458.4249179553,390447.0128835969
2013-03-15,322028.6391398582,189175.09071855756,464021.6808921283
2013-03-16,510873.72605778207,360926.17876513646,636799.2133673626
2013-03-17,562561.5338427906,421826.74583131995,701145.2379664491
2013-03-18,350100.1039214267,213410.7439799748,486227.95773732336
2013-03-19,299817.9192803984,166617.64062187378,447558.3287421611
2013-03-20,320410.95647480316,184697.4957034866,461335.52147368086
2013-03-21,229340.03136614934,85634.21607570462,368240.8001958331
2013-03-22,300771.06964527053,146283.3899074003,435693.8526452442
2013-03-23,488598.96393790666,349623.22102937306,638738.2817092868
2013-03-24,539852.4670688671,400641.474522425,679053.4311527687
2013-03-25,327524.59280247823,187823.76076564146,465931.2903015144
2013-03-26,277915.10154144873,134505.8684289926,410626.86648029106
2013-03-27,299678.69263856666,167090.77876763215,454254.8964300977
2013-03-28,210223.79352859478,83441.0057196679,353425.81505524047
2013-03-29,283654.5300682779,147227.84876414604,421232.7561261076
2013-03-30,473796.4872227332,330492.8445340882,611439.4175123132
2013-03-31,527603.6526361252,391726.4811149138,665683.2083553108
2013-04-01,317990.95468596614,175892.40985718655,467152.99733219016
2013-04-02,271178.9118234579,125077.36458571635,406793.7040113535
2013-04-03,295743.95498055423,155650.25669034262,434081.0555639164
2013-04-04,209019.2558270802,65352.0818138928,339793.10046801914
2013-04-05,285038.5918584928,149148.06633880243,428789.31475596904
2013-04-06,477563.8094976144,338670.0514322145,615525.7602917067
2013-04-07,533493.2364495567,392771.5030925604,658885.8091346528
2013-04-08,325695.42129603575,196164.3799604607,462360.93406731397
2013-04-09,280354.6919532134,148952.4746330878,419258.2891867468
2013-04-10,306022.0785558342,169946.13402415448,454080.71867611
2013-04-11,220016.42649866064,79954.59364993814,362600.5381975967
2013-04-12,296368.232724109,165292.47064288997,427690.6978138753
2013-04-13,488846.77737952175,352173.7616694771,634531.2461984975
2013-04-14,544367.9213131543,409581.73461326567,684226.2960571115
2013-04-15,335826.97414500656,199456.38710805986,469210.53929372923
2013-04-16,289443.15779525304,136939.63945242326,438504.95818831056
2013-04-17,313809.24968411436,167752.93121232037,456655.32530436484
2013-04-18,226291.27407697326,84377.22791174622,364204.60553080146
2013-04-19,300970.8201380866,163951.48491167184,438102.1906268458
2013-04-20,491670.60557502403,353189.6366635676,634684.6905033648
2013-04-21,545360.7032148,403289.26736640726,671856.217681353
2013-04-22,334989.88011023024,195299.6310518822,481211.4466781636
2013-04-23,286828.61686390504,147748.29481811772,428993.24309241126
2013-04-24,309517.4297049429,171523.0194983617,433597.69512311206
2013-04-25,220465.39733838872,72826.14962428682,356598.08459707146
2013-04-26,293791.49882144306,170006.99579550483,441516.75703721284
2013-04-27,483349.4025897022,335664.72213477554,623756.7047498524
